ID,TYPE,TITLE,DESCRIPTION
1,s,பார்பரிகா கதை!,பார்பரிகாவின் கண்கள் மட்டும் யுத்தத்தை பார்த்தது—அவர் பார்த்த உண்மை உலகத்தையே அதிர்ச்சியடைய வைத்தது! 👁️
2,s,இந்திரன் சாபம்!,இந்திரன் செய்த ஒரு தவறு… ஒரு முழு இடத்தையே சாபமிட்டதாக மக்கள் இன்னும் நம்புகிறார்கள்! ⚡
3,s,திருமணஞ்சேரி ரகசியம்!,இங்க வந்தவர்கள் “திரும்பி வர்றப்போ single இல்லை”ன்னு சொல்வாங்க—அதுக்குப் பின்னால இருக்கும் சக்தி என்ன? 
4,s,ஒப்பிலியப்பன் கோவில்!,உப்பு இல்லாத பிரசாதம்… ஆனாலும் அதின் சுவை வாழ்க்கையையே மாற்றும் அளவுக்கு இருக்குமாம்! 😳
5,s,குபேரன் கதை!,ஒரு கணத்தில் செல்வம் போனது—குபேரனுக்கு கிடைத்த அந்த பாடம் இன்னும் மனிதர்களுக்கு எச்சரிக்கை! 💰
6,s,அழகு நாச்சியார் அம்மன்,அழகு நாச்சியம்மன் கோயில் வரலாறு மற்றும் சிறப்பு அம்சங்கள்
7,s,,
8,s,,
9,v,,
10,v,,
11,v,,
12,v,,
