ID,TYPE,TITLE,DESCIPIRATION
1,S,கல்யாண கோலத்தில் இன்றும் சிவனுக்காக காத்திருக்கும் கன்னியாகுமரி பகவதி அம்மனின் உண்மையான வரலாற்று கதை! நாரதர் ஏன் அந்த திருமணத்தை தடுத்து நிறுத்தினார்,கல்யாண கோலத்தில் இன்றும் சிவனுக்காக காத்திருக்கும் கன்னியாகுமரி பகவதி அம்மனின் உண்மையான வரலாற்று கதை! நாரதர் ஏன் அந்த திருமணத்தை தடுத்து நிறுத்தினார்
2,S,எந்த ஒரு இந்து கடவுளையும் நம்பாத ஆங்கிலேய கலெக்டர் லூஷிங்டன் ஏன் பிரம்மாண்டமான வெள்ளி பாத்திரங்களை திருச்செந்தூர் முருகனுக்கு  காணிக்கையாக வழங்கினார் என்று தெரியுமா,எந்த ஒரு இந்து கடவுளையும் நம்பாத ஆங்கிலேய கலெக்டர் லூஷிங்டன் ஏன் பிரம்மாண்டமான வெள்ளி பாத்திரங்களை திருச்செந்தூர் முருகனுக்கு  காணிக்கையாக வழங்கினார் என்று தெரியுமா
3,S,சிவபெருமான் ஏன் தனது சிறந்த பக்தனை நாட்டை விட்டு வெளியேறச் சொன்னார் ஒரு மாபெரும் வித்வான், காட்டில் ஆதரவற்ற நிலையில் நின்றபோது அவருக்கு உதவிய அந்த மர்மமான வேலையாள் யார்,சிவபெருமான் ஏன் தனது சிறந்த பக்தனை நாட்டை விட்டு வெளியேறச் சொன்னார் ஒரு மாபெரும் வித்வான், காட்டில் ஆதரவற்ற நிலையில் நின்றபோது அவருக்கு உதவிய அந்த மர்மமான வேலையாள் யார்
4,S,காட்டு நரிகளை சிவபெருமான் எப்படி குதிரைகளாக மாற்றினார் தெரியுமா தன் பக்தன் மாணிக்கவாசகருக்காக ஈசன் நடத்திய சிலிர்க்க வைக்கும் சித்து விளையாட்டு,காட்டு நரிகளை சிவபெருமான் எப்படி குதிரைகளாக மாற்றினார் தெரியுமா தன் பக்தன் மாணிக்கவாசகருக்காக ஈசன் நடத்திய சிலிர்க்க வைக்கும் சித்து விளையாட்டு
5,S,கண்பார்வை இல்லாத பக்தனை காப்பாற்ற மீனாட்சி அம்மன் பச்சைக் கிளியாக வந்த அந்த சிலிர்க்க வைக்கும் கதை,கண்பார்வை இல்லாத பக்தனை காப்பாற்ற மீனாட்சி அம்மன் பச்சைக் கிளியாக வந்த அந்த சிலிர்க்க வைக்கும் கதை
6,S,திருப்பதி வெங்கடேச பெருமாள் இருக்கும் மலை அவருடைய சொந்த மலை இல்லை என்பதை நீங்கள் அறிவீர்களா,திருப்பதி வெங்கடேச பெருமாள் இருக்கும் மலை அவருடைய சொந்த மலை இல்லை என்பதை நீங்கள் அறிவீர்களா
7,S,கடவுளையே சதுரங்கத்தில் வெல்ல நினைத்த இளவரசி… முடிவு என்ன தெரியுமா,கடவுளையே சதுரங்கத்தில் வெல்ல நினைத்த இளவரசி… முடிவு என்ன தெரியுமா
8,S,காலபைரவர் ஏன் நாயை வாகனமாக தேர்ந்தெடுத்தார் தெரியுமா,காலபைரவர் ஏன் நாயை வாகனமாக தேர்ந்தெடுத்தார் தெரியுமா
9,S,குலதெய்வத்தின் வழிபாடு சிறப்பம்சங்கள் பற்றி நம் முன்னோர்கள் சொன்னது ,குலதெய்வத்தின் வழிபாடு சிறப்பம்சங்கள் பற்றி நம் முன்னோர்கள் சொன்னது 
10,S,திருவண்ணாமலைக் குகை ரகசியம்,திருவண்ணாமலைக் குகை ரகசியம்
11,S,கும்பகோணம் பயணத்தில் பார்க்க வேண்டிய 5 அற்புத கோவில்கள்,கும்பகோணம் பயணத்தில் பார்க்க வேண்டிய 5 அற்புத கோவில்கள்
12,S,அருணகிரிநாதர் முருகனிடம் முத்தம் வாங்கிய விசித்திரக் கதை,அருணகிரிநாதர் முருகனிடம் முத்தம் வாங்கிய விசித்திரக் கதை
